Availability;DataSheetUrl;Description;FactoryStock;ImagePath;Category;LeadTime;LifecycleStatus;Manufacturer;ManufacturerPartNumber;Min;Mult;MouserPartNumber;AlternatePackagings;ProductDetailUrl;Reeling;ROHSStatus;SuggestedReplacement;MultiSimBlue;AvailabilityInStock
None;;HDMI, Displayport & DVI Connectors HDMI, RECEPTACLE, 0.5mm pitch, 19 pins, Right Angle, A Type with Flange, Dip Type, 30U" plating, Shell with Nickel plating, Tape and Reel Packing;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol Commercial Products;HDMF19200912;5200;1300;523-HDMF19200912;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/HDMF19200912?qs=%252BRAvXJslkuA1ulkVfyKGiw%3D%3D;False;;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI, RECEPTACLE, 0.5mm pitch, 19 pins, Right Angle, A Type with Flange, SMT Type, 30U" plating, Shell with Nickel plating, Tape and Reel Packing;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol Commercial Products;HDMF 191 00112TR;4200;2100;523-HDMF19100112TR;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/HDMF-191-00112TR?qs=%252BRAvXJslkuAwKQfbxliDjg%3D%3D;True;;;0;0
None;;HDMI, Displayport & DVI Connectors 8P8C LP JACK S/E SMT SH REFLOW;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol CONEC;33TS3004S-880003;1;1;706-33TS3004S-880003;None;https://eu.mouser.com/ProductDetail/Amphenol-CONEC/33TS3004S-880003?qs=B9TV4DWH7gUwU9AwO1gk0A%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/18/1/10154382-2578918.pdf;HDMI, Displayport & DVI Connectors HDMI RECEPTACLE;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol FCI;10154382-0051LF;3000;3000;649-101543820051LF;None;https://eu.mouser.com/ProductDetail/Amphenol-FCI/10154382-0051LF?qs=vHuUswq2%252BsyQJgCuS3YdrA%3D%3D;True;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/18/1/io_hdmi_g45-2509040.pdf;HDMI, Displayport & DVI Connectors G45CA190102HHR-PLUG A TYPE STR FORCABLE;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol Commercial Products;G45CA190102HHR;4800;4800;523-G45CA190102HHR;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/G45CA190102HHR?qs=f9yNj16SXrLuVDGA56xQow%3D%3D;False;;;0;0
None;;HDMI, Displayport & DVI Connectors DP 20P M to HDMI Adapter;0;None;HDMI, Displayport & DVI Connectors;0 Days;New Product;Kontron;F5000-A007;1;1;168-F5000-A007;None;https://eu.mouser.com/ProductDetail/Kontron/F5000-A007?qs=Li%252BoUPsLEnu2N47%2FWnRbHw%3D%3D;False;;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI, RECEPTACLE, 0.5mm pitch, 19 pins, Right Angle, A Type with Flange, SMT Type, 30U" plating, Shell with Nickel plating, Tape and Reel Packing;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol Commercial Products;HDMF19108812TR;7500;750;523-HDMF19108812TR;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/HDMF19108812TR?qs=PzGy0jfpSMsyvHx6YerWbg%3D%3D;True;;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI, RECEPTACLE, 0.5mm pitch, 19 pins, Right Angle, A Type with EMI shell, SMT Type, PdNi 27U" + Au 2U" plating, Shell with Black Nickel plating, Tape and Reel Packing;0;None;HDMI, Displayport & DVI Connectors;0 Days;None;Amphenol Commercial Products;HDMF19108632TR;10500;1750;523-HDMF19108632TR;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/HDMF19108632TR?qs=PzGy0jfpSMuEod3Pv6fc4A%3D%3D;True;;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI Connector System - G45 Series, Input Output Connectors, Receptacle, Type A, Right Angle, 0.5mm Pitch, 19 Position, SMT (Through Hole for Shell Peg) Type, With Flange, 15u in Gold Plating, High Temperature Thermo Plastic, Black, Tape and Reel Pac;0;None;HDMI, Displayport & DVI Connectors;77 Days;None;Amphenol Commercial Products;G45A1912110B1EU;720;720;523-G45A1912110B1EU;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/G45A1912110B1EU?qs=rrS6PyfT74floNkj%252BmJyTQ%3D%3D;True;;;0;0
None;;HDMI, Displayport & DVI Connectors HDMI Connector System - G45 Series, Input Output Connector, Receptacle, Type A, Upright, 0.75mm Pitch, 19 Position, Dip (Forklock and Through Hole for Shell Peg, Nickel, With additional EMI shel solder Width 2.0mm with Mylar) Type, Gold Flash Plating;0;None;HDMI, Displayport & DVI Connectors;77 Days;None;Amphenol Commercial Products;G45A190723HR;1700;1700;523-G45A190723HR;None;https://eu.mouser.com/ProductDetail/Amphenol-Commercial-Products/G45A190723HR?qs=f9yNj16SXrI7iUYMmAUqog%3D%3D;False;;;0;0
